id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate,category_id,video_link
1359,"“We are like waves in the ocean, each with a unique character and quality on the surface, but deep down we are eternally connected to one another and to the ocean as a whole",0,17,75,2,36,0,73,2024-11-24 20:29:40,kinha,rate,0.25,0.2236842105263158,8,https://video-cdn.socialverseapp.com/kinha_29830a53-6229-49d6-aa71-45068b17f57c.mp4
1369,"Comparison is the thief of joy. Remember, your journey is uniquely yours. 💫✨
What's one thing you love most about your own path?

#BeYourself #EmbraceYourJourney #SelfDiscovery",0,16,38,4,35,0,117,2024-11-26 17:41:44,kinha,rate,-1.6153846153846154,0.41025641025641024,8,https://video-cdn.socialverseapp.com/kinha_dd8a8613-2fd5-40a8-bd11-a963f4a9540d.mp4
1355,Words of wisdom from ‘Nature and the Human Soul- Cultivating Wholeness and Community in a Fragmented World’ by the original spiritual Field Guide Bill Plotkin paired with nature-scenes from various Studio films by the G.O.A.T,0,60,51,3,35,1,16,2024-11-24 20:22:18,kinha,rate,1.8269230769230769,1.1538461538461537,8,https://video-cdn.socialverseapp.com/kinha_2ffa1465-ce41-4e42-aa2d-c4b35f0993dc.mp4
1346,"Soon it'll all be ice, so let's enjoy the water while it's flowing  ....#moody #nature #cinematic #moodynature #naturetherapy",0,48,79,3,41,1,120,2024-11-24 20:14:04,kinha,rate,0.0875,0.6,8,https://video-cdn.socialverseapp.com/kinha_3a3c67ae-6162-4f66-8cc4-4e861b592bd9.mp4
1379,"When the heart and the mind work together.. ❤️✨- Robert Edward Grant

#robertgrant #robertedwardgrant #heartcoherence #brainheartcoherence #souljourney #soulguidance #surrendertotheflow #spiritualjourney #spiritualgrowth",0,2,17,3,25,2,393,2024-11-28 19:30:23,bloomscroller,rate,-20.77777777777778,0.1111111111111111,8,https://video-cdn.socialverseapp.com/bloomscroller_993643aa-3547-4103-8a7c-a2a1e24b221b.mp4
1380,"This reminder is so important 🌻↓

Have you paused to truly thank yourself for carrying you this far? For every time you chose to keep going, even when the world felt heavy? Your heart has weathered storms",0,1,24,3,30,0,415,2024-11-28 19:30:43,bloomscroller,rate,-15.6,0.04,8,https://video-cdn.socialverseapp.com/bloomscroller_d5cecb0e-0be4-4f94-8a9f-626b33bc69ae.mp4
1375,Human can make AI that act like you mimic you we are the fragrance of the god,0,1,13,3,30,0,379,2024-11-28 04:12:51,kinha,rate,-26.071428571428573,0.07142857142857142,8,https://video-cdn.socialverseapp.com/kinha_661ffb20-eae4-4cb6-90c3-da0f3cd74fe5.mp4
1341,It’s just as breathtaking beneath the surface as it is above  #nature #outdoors #cinematic #calm #underwater,0,29,102,4,50,1,58,2024-11-24 20:12:11,kinha,rate,0.7087378640776699,0.2815533980582524,8,https://video-cdn.socialverseapp.com/kinha_4e5ff15c-0495-43aa-9b08-fb53a8e396f7.mp4
1368,"Your energy is your most expensive currency. 💫 Not everyone can afford it, and that’s perfectly fine. Protect your vibe and invest in those who appreciate your true worth. 🌼",0,1,101,4,38,0,88,2024-11-26 17:41:25,kinha,rate,0.13725490196078433,0.00980392156862745,8,https://video-cdn.socialverseapp.com/kinha_9dbf8a20-60fe-41e4-8ddb-3c7b103de029.mp4
1372,"How would you live?

#fyp #foryou #viral #deepstrongquotes #lifequotes #mentalhealth #sadqoutes #depressionanxiety #quotesthathitdifferent #quotesthathithard #liveyourlife",0,1,8,3,32,0,434,2024-11-28 04:11:40,kinha,rate,-47.22222222222222,0.1111111111111111,8,https://video-cdn.socialverseapp.com/kinha_3e9dea6f-a683-4c42-b998-ed6616ab9dfd.mp4
1344,Cactus floreciendo.......#flower#blooming#naturelovers#floral#petals#blossom#flowerpower#botanica,0,7,92,3,33,0,141,2024-11-24 20:13:19,kinha,rate,-0.45161290322580644,0.07526881720430108,8,https://video-cdn.socialverseapp.com/kinha_c9e50a4e-acb4-40c3-9bb6-5f2d1ba95bac.mp4
